"rt","responses","trial_type","trial_index","time_elapsed","internal_node_id","condition","view_history","question_order","grid","target","response_row","response_column","correct"
"7907","{""consent"":""on"",""name"":""testbas2"",""date"":""2020-04-28""}","survey-html-form","0","7913","0.0-0.0","Turned","","","","","","",""
"2057","","instructions","1","9973","0.0-1.0","Turned","[{""page_index"":0,""viewing_time"":2056}]","","","","","",""
"1926","{""age"":""23""}","survey-html-form","2","11901","0.0-2.0","Turned","","","","","","",""
"1301","{""gender"":""male""}","survey-multi-choice","3","13205","0.0-3.0","Turned","","[0]","","","","",""
"2687","","instructions","4","15893","0.0-4.0","Turned","[{""page_index"":0,""viewing_time"":686},{""page_index"":1,""viewing_time"":510},{""page_index"":2,""viewing_time"":448},{""page_index"":3,""viewing_time"":393},{""page_index"":4,""viewing_time"":650}]","","","","","",""
"3396","{""instructions"":""Click green squares"",""data"":""be collected and stored securely and anonymously.""}","survey-multi-choice","5","19290","0.0-5.0","Turned","","[0,1]","","","","",""
"745","","instructions","6","20036","0.0-6.0","Turned","[{""page_index"":0,""viewing_time"":745}]","","","","","",""
"724","","serial-reaction-time-mouse","7","21264","0.0-7.0","Turned","","","[[1,0,0,0,1],[0,0,0,0,0],[0,0,0,0,0],[0,0,0,0,0],[1,0,0,0,1]]","[4,0]","4","0","true"
"769","","serial-reaction-time-mouse","8","22535","0.0-8.0","Turned","","","[[1,0,0,0,1],[0,0,0,0,0],[0,0,0,0,0],[0,0,0,0,0],[1,0,0,0,1]]","[4,4]","4","4","true"
"267","","serial-reaction-time-mouse","9","23305","0.0-9.0","Turned","","","[[1,0,0,0,1],[0,0,0,0,0],[0,0,0,0,0],[0,0,0,0,0],[1,0,0,0,1]]","[0,4]","0","4","true"
"891","","serial-reaction-time-mouse","10","24701","0.0-10.0","Turned","","","[[1,0,0,0,1],[0,0,0,0,0],[0,0,0,0,0],[0,0,0,0,0],[1,0,0,0,1]]","[4,4]","4","4","true"
"673","","instructions","11","25374","0.0-11.0","Turned","[{""page_index"":0,""viewing_time"":673}]","","","","","",""
"947","","serial-reaction-time-mouse","12","26822","0.0-12.0","Turned","","","[[1,0,0,0,1],[0,0,0,0,0],[0,0,0,0,0],[0,0,0,0,0],[1,0,0,0,1]]","[0,4]","0","4","true"
"401","","serial-reaction-time-mouse","13","27724","0.0-13.0","Turned","","","[[1,0,0,0,1],[0,0,0,0,0],[0,0,0,0,0],[0,0,0,0,0],[1,0,0,0,1]]","[4,4]","4","4","true"
"339","","serial-reaction-time-mouse","14","28566","0.0-14.0","Turned","","","[[1,0,0,0,1],[0,0,0,0,0],[0,0,0,0,0],[0,0,0,0,0],[1,0,0,0,1]]","[0,4]","0","4","true"
"475","","serial-reaction-time-mouse","15","29543","0.0-15.0","Turned","","","[[1,0,0,0,1],[0,0,0,0,0],[0,0,0,0,0],[0,0,0,0,0],[1,0,0,0,1]]","[4,0]","4","0","true"
"972","","instructions","16","30518","0.0-16.0","Turned","[{""page_index"":0,""viewing_time"":972}]","","","","","",""
"451","","serial-reaction-time-mouse","17","31470","0.0-17.0","Turned","","","[[1,0,0,0,1],[0,0,0,0,0],[0,0,0,0,0],[0,0,0,0,0],[1,0,0,0,1]]","[0,4]","0","4","true"
"811","","serial-reaction-time-mouse","18","32784","0.0-18.0","Turned","","","[[1,0,0,0,1],[0,0,0,0,0],[0,0,0,0,0],[0,0,0,0,0],[1,0,0,0,1]]","[4,0]","4","0","true"
"533","","serial-reaction-time-mouse","19","33817","0.0-19.0","Turned","","","[[1,0,0,0,1],[0,0,0,0,0],[0,0,0,0,0],[0,0,0,0,0],[1,0,0,0,1]]","[4,4]","4","4","true"
"562","","serial-reaction-time-mouse","20","34884","0.0-20.0","Turned","","","[[1,0,0,0,1],[0,0,0,0,0],[0,0,0,0,0],[0,0,0,0,0],[1,0,0,0,1]]","[0,0]","0","0","true"
"936","","instructions","21","35820","0.0-21.0","Turned","[{""page_index"":0,""viewing_time"":935}]","","","","","",""
"701","","serial-reaction-time-mouse","22","37023","0.0-22.0","Turned","","","[[1,0,0,0,1],[0,0,0,0,0],[0,0,0,0,0],[0,0,0,0,0],[1,0,0,0,1]]","[4,0]","4","0","true"
"834","","serial-reaction-time-mouse","23","38358","0.0-23.0","Turned","","","[[1,0,0,0,1],[0,0,0,0,0],[0,0,0,0,0],[0,0,0,0,0],[1,0,0,0,1]]","[4,4]","4","4","true"
"549","","serial-reaction-time-mouse","24","39408","0.0-24.0","Turned","","","[[1,0,0,0,1],[0,0,0,0,0],[0,0,0,0,0],[0,0,0,0,0],[1,0,0,0,1]]","[0,0]","0","0","true"
"518","","serial-reaction-time-mouse","25","40428","0.0-25.0","Turned","","","[[1,0,0,0,1],[0,0,0,0,0],[0,0,0,0,0],[0,0,0,0,0],[1,0,0,0,1]]","[0,4]","0","4","true"
"1302","{""undefined"":""""}","survey-text","26","41732","0.0-26.0","Turned","","","","","","",""
"2728","{""email"":""""}","survey-html-form","27","44462","0.0-27.0","Turned","","","","","","",""
